feature,importance
number_inpatient,0.26586351015420534
discharge_disposition_id,0.12142812103551431
diag_1,0.07443572885377159
diag_2,0.060617030839575405
num_lab_procedures,0.05805425637303893
diag_3,0.0569966458124825
num_medications,0.0553211097675972
time_in_hospital,0.04630263704869447
number_emergency,0.04561281218425401
number_diagnoses,0.04067669175201187
